Player,G,TRB,AST,STL,BLK,TOV,PTS
Evan Mobley,50,9.4,3.2,0.9,1.4,1.8,15.7
Caris LeVert,68,4.1,5.1,1.1,0.5,1.7,14.0
Isaac Okoro,69,3.0,1.9,0.8,0.5,0.8,9.4
Georges Niang,82,3.4,1.2,0.4,0.2,0.9,9.4
Dean Wade,54,4.0,0.8,0.7,0.5,0.4,5.4
Sam Merrill,61,2.0,1.8,0.3,0.1,0.3,8.0
Marcus Morris,12,2.1,0.8,0.2,0.2,0.9,5.8
Craig Porter Jr.,51,2.1,2.3,0.4,0.3,0.9,5.6
Tristan Thompson,49,3.6,1.0,0.2,0.3,0.6,3.3
Emoni Bates,15,0.9,0.7,0.1,0.1,0.5,2.7
Ty Jerome,2,0.5,1.5,0.0,0.0,0.5,2.0
Isaiah Mobley,10,1.0,0.6,0.2,0.0,0.2,2.3
Damian Jones,39,1.6,0.4,0.2,0.3,0.3,2.7
Pete Nance,8,0.4,0.0,0.1,0.0,0.1,0.4
Cade Cunningham,62,4.3,7.5,0.9,0.4,3.4,22.7
Bojan Bogdanović,28,3.4,2.5,0.8,0.1,2.3,20.2
Isaiah Stewart,46,6.6,1.6,0.4,0.8,1.4,10.9
Simone Fontecchio,16,4.4,1.8,0.9,0.3,1.1,15.4
Chimezie Metu,14,6.0,1.9,1.7,0.5,1.8,10.5
Jalen Duren,61,11.6,2.4,0.5,0.8,2.1,13.8
Jaden Ivey,77,3.4,3.8,0.7,0.5,2.5,15.4
Ausar Thompson,63,6.4,1.9,1.1,0.9,1.3,8.8
Killian Hayes,42,2.8,4.9,0.9,0.5,1.2,6.9
Tosan Evbuomwan,13,3.5,0.8,0.5,0.3,0.6,7.0
Alec Burks,43,2.6,1.6,0.5,0.3,0.7,12.6
Isaiah Livers,23,2.1,1.1,0.6,0.2,0.7,5.0
Quentin Grimes,6,2.0,2.3,0.8,0.7,1.2,5.3
Troy Brown Jr.,22,3.3,1.1,0.7,0.0,0.5,4.2
Marcus Sasser,71,1.8,3.3,0.6,0.2,1.3,8.3
Evan Fournier,29,1.9,1.6,0.9,0.2,0.7,7.2
Marvin Bagley III,26,4.5,1.0,0.2,0.5,1.1,10.2
Kevin Knox,31,2.4,0.7,0.4,0.2,0.7,7.2
James Wiseman,63,5.3,0.9,0.2,0.6,1.0,7.1
Shake Milton,4,4.5,1.5,0.5,0.3,0.8,6.8
Danilo Gallinari,6,2.3,2.0,0.3,0.3,0.2,8.7
Jaylen Nowell,4,2.5,0.8,0.3,0.5,0.5,7.5
Jared Rhoden,17,1.9,0.8,0.2,0.8,0.4,4.9
Malachi Flynn,24,1.8,2.1,0.8,0.1,1.1,8.0
